Training: 2023-07-17 05:18:02,220-rank_id: 0
Training: 2023-07-17 05:19:15,425-Speed 1386.51 samples/sec   Loss 37.5039   LearningRate 0.000864   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 2048   Required: 5 hours
Training: 2023-07-17 05:19:16,667-Speed 1030.98 samples/sec   Loss 37.2538   LearningRate 0.000950   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 2048   Required: 5 hours
Training: 2023-07-17 05:19:17,713-Speed 1224.22 samples/sec   Loss 37.2398   LearningRate 0.001036   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 4096   Required: 5 hours
Training: 2023-07-17 05:19:18,673-Speed 1335.27 samples/sec   Loss 37.3321   LearningRate 0.001123   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 4096   Required: 5 hours
Training: 2023-07-17 05:19:19,593-Speed 1392.74 samples/sec   Loss 37.3739   LearningRate 0.001209   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 4096   Required: 5 hours
Training: 2023-07-17 05:19:20,611-Speed 1258.33 samples/sec   Loss 37.2915   LearningRate 0.001295   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:21,751-Speed 1123.21 samples/sec   Loss 37.1433   LearningRate 0.001382   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:22,570-Speed 1563.59 samples/sec   Loss 37.2221   LearningRate 0.001468   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:23,435-Speed 1482.32 samples/sec   Loss 37.1231   LearningRate 0.001554   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:24,407-Speed 1317.29 samples/sec   Loss 37.3215   LearningRate 0.001641   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:25,388-Speed 1306.25 samples/sec   Loss 37.4697   LearningRate 0.001727   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:26,412-Speed 1251.24 samples/sec   Loss 37.3189   LearningRate 0.001813   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:27,365-Speed 1344.44 samples/sec   Loss 37.4565   LearningRate 0.001900   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:28,243-Speed 1458.00 samples/sec   Loss 37.7448   LearningRate 0.001986   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:29,132-Speed 1441.22 samples/sec   Loss 37.6635   LearningRate 0.002073   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:30,041-Speed 1410.46 samples/sec   Loss 37.6671   LearningRate 0.002159   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:30,943-Speed 1419.74 samples/sec   Loss 37.7321   LearningRate 0.002245   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:31,874-Speed 1376.09 samples/sec   Loss 37.7940   LearningRate 0.002332   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:32,729-Speed 1497.78 samples/sec   Loss 37.7903   LearningRate 0.002418   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:33,675-Speed 1354.79 samples/sec   Loss 37.9695   LearningRate 0.002504   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:34,580-Speed 1414.80 samples/sec   Loss 38.0996   LearningRate 0.002591   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:35,523-Speed 1359.35 samples/sec   Loss 37.9790   LearningRate 0.002677   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2023-07-17 05:19:36,455-Speed 1374.92 samples/sec   Loss 38.2171   LearningRate 0.002763   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 8192   Required: 4 hours
Training: 2023-07-17 05:19:37,298-Speed 1519.76 samples/sec   Loss 38.2584   LearningRate 0.002850   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:19:38,126-Speed 1547.66 samples/sec   Loss 38.4659   LearningRate 0.002936   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:19:39,032-Speed 1413.90 samples/sec   Loss 38.4349   LearningRate 0.003022   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:19:39,939-Speed 1413.23 samples/sec   Loss 38.2964   LearningRate 0.003109   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:19:40,800-Speed 1488.55 samples/sec   Loss 38.5284   LearningRate 0.003195   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:19:41,708-Speed 1409.90 samples/sec   Loss 38.5347   LearningRate 0.003282   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:19:42,568-Speed 1489.48 samples/sec   Loss 38.5241   LearningRate 0.003368   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:43,511-Speed 1358.73 samples/sec   Loss 38.5002   LearningRate 0.003454   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:44,476-Speed 1327.58 samples/sec   Loss 38.4294   LearningRate 0.003541   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:45,352-Speed 1463.93 samples/sec   Loss 38.4329   LearningRate 0.003627   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:46,303-Speed 1346.40 samples/sec   Loss 38.8605   LearningRate 0.003713   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:47,205-Speed 1420.79 samples/sec   Loss 38.8206   LearningRate 0.003800   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:48,040-Speed 1534.48 samples/sec   Loss 38.8130   LearningRate 0.003886   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:48,981-Speed 1361.70 samples/sec   Loss 38.6381   LearningRate 0.003972   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:49,808-Speed 1549.48 samples/sec   Loss 38.7670   LearningRate 0.004059   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:50,762-Speed 1343.21 samples/sec   Loss 38.8471   LearningRate 0.004145   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:51,589-Speed 1547.90 samples/sec   Loss 38.6412   LearningRate 0.004231   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:52,453-Speed 1482.67 samples/sec   Loss 38.7026   LearningRate 0.004318   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:53,352-Speed 1426.00 samples/sec   Loss 38.5911   LearningRate 0.004404   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:54,258-Speed 1413.53 samples/sec   Loss 38.8618   LearningRate 0.004491   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:55,162-Speed 1417.74 samples/sec   Loss 38.6506   LearningRate 0.004577   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:56,109-Speed 1352.76 samples/sec   Loss 38.7941   LearningRate 0.004663   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:57,144-Speed 1237.46 samples/sec   Loss 38.8438   LearningRate 0.004750   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:58,023-Speed 1457.59 samples/sec   Loss 38.8349   LearningRate 0.004836   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:58,999-Speed 1311.76 samples/sec   Loss 38.5510   LearningRate 0.004922   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:19:59,846-Speed 1513.51 samples/sec   Loss 38.8023   LearningRate 0.005009   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 4096   Required: 3 hours
Training: 2023-07-17 05:20:00,687-Speed 1522.62 samples/sec   Loss 38.7183   LearningRate 0.005095   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:01,605-Speed 1395.92 samples/sec   Loss 38.8823   LearningRate 0.005181   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:02,517-Speed 1404.89 samples/sec   Loss 38.6916   LearningRate 0.005268   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:03,445-Speed 1380.08 samples/sec   Loss 38.8255   LearningRate 0.005354   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:04,288-Speed 1520.17 samples/sec   Loss 38.6635   LearningRate 0.005440   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:05,157-Speed 1474.39 samples/sec   Loss 38.8230   LearningRate 0.005527   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:06,075-Speed 1395.26 samples/sec   Loss 38.5863   LearningRate 0.005613   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:06,975-Speed 1423.52 samples/sec   Loss 38.6706   LearningRate 0.005699   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:07,834-Speed 1492.88 samples/sec   Loss 38.7830   LearningRate 0.005786   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:08,752-Speed 1394.75 samples/sec   Loss 38.6184   LearningRate 0.005872   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 8192   Required: 3 hours
Training: 2023-07-17 05:20:09,584-Speed 1540.24 samples/sec   Loss 38.7190   LearningRate 0.005959   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:10,425-Speed 1522.72 samples/sec   Loss 38.8754   LearningRate 0.006045   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:11,332-Speed 1420.87 samples/sec   Loss 38.6636   LearningRate 0.006131   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:12,261-Speed 1379.78 samples/sec   Loss 38.7743   LearningRate 0.006218   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:13,101-Speed 1523.91 samples/sec   Loss 38.7272   LearningRate 0.006304   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:13,927-Speed 1552.19 samples/sec   Loss 38.5985   LearningRate 0.006390   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:14,863-Speed 1368.39 samples/sec   Loss 38.7589   LearningRate 0.006477   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:15,757-Speed 1433.35 samples/sec   Loss 38.6966   LearningRate 0.006563   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:16,702-Speed 1355.57 samples/sec   Loss 38.6358   LearningRate 0.006649   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:17,543-Speed 1522.49 samples/sec   Loss 38.6986   LearningRate 0.006736   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-07-17 05:20:18,430-Speed 1444.84 samples/sec   Loss 38.9176   LearningRate 0.006822   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:19,281-Speed 1506.17 samples/sec   Loss 39.0117   LearningRate 0.006908   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:20,171-Speed 1438.84 samples/sec   Loss 38.7461   LearningRate 0.006995   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:21,015-Speed 1518.26 samples/sec   Loss 38.8653   LearningRate 0.007081   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:21,980-Speed 1326.79 samples/sec   Loss 38.7642   LearningRate 0.007168   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:22,800-Speed 1564.06 samples/sec   Loss 38.6407   LearningRate 0.007254   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:23,649-Speed 1508.19 samples/sec   Loss 38.6235   LearningRate 0.007340   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:24,476-Speed 1548.89 samples/sec   Loss 38.6447   LearningRate 0.007427   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:25,360-Speed 1449.74 samples/sec   Loss 38.6490   LearningRate 0.007513   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:26,221-Speed 1487.81 samples/sec   Loss 38.7796   LearningRate 0.007599   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:27,068-Speed 1511.17 samples/sec   Loss 38.7574   LearningRate 0.007686   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:28,006-Speed 1365.65 samples/sec   Loss 38.5789   LearningRate 0.007772   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:28,870-Speed 1484.20 samples/sec   Loss 38.6159   LearningRate 0.007858   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:29,728-Speed 1492.08 samples/sec   Loss 38.6231   LearningRate 0.007945   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:30,581-Speed 1502.82 samples/sec   Loss 38.6933   LearningRate 0.008031   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:31,486-Speed 1414.41 samples/sec   Loss 38.8369   LearningRate 0.008117   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:32,326-Speed 1526.39 samples/sec   Loss 38.7688   LearningRate 0.008204   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:33,278-Speed 1345.97 samples/sec   Loss 38.5700   LearningRate 0.008290   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:34,098-Speed 1561.07 samples/sec   Loss 38.5098   LearningRate 0.008377   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:34,919-Speed 1560.88 samples/sec   Loss 38.9054   LearningRate 0.008463   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:35,813-Speed 1432.78 samples/sec   Loss 38.6434   LearningRate 0.008549   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:36,679-Speed 1479.79 samples/sec   Loss 38.6942   LearningRate 0.008636   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:37,547-Speed 1476.57 samples/sec   Loss 38.8246   LearningRate 0.008722   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:38,380-Speed 1537.96 samples/sec   Loss 38.7321   LearningRate 0.008808   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:39,250-Speed 1472.28 samples/sec   Loss 38.5734   LearningRate 0.008895   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:40,115-Speed 1480.37 samples/sec   Loss 38.6282   LearningRate 0.008981   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-07-17 05:20:41,021-Speed 1414.92 samples/sec   Loss 38.6375   LearningRate 0.009067   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:41,894-Speed 1467.45 samples/sec   Loss 38.3073   LearningRate 0.009154   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:42,760-Speed 1478.39 samples/sec   Loss 38.5742   LearningRate 0.009240   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:43,613-Speed 1502.73 samples/sec   Loss 38.7514   LearningRate 0.009326   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:44,450-Speed 1529.52 samples/sec   Loss 38.7224   LearningRate 0.009413   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:45,269-Speed 1565.43 samples/sec   Loss 38.7325   LearningRate 0.009499   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:46,108-Speed 1526.84 samples/sec   Loss 38.7337   LearningRate 0.009585   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:46,926-Speed 1566.97 samples/sec   Loss 38.8041   LearningRate 0.009672   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:47,808-Speed 1452.56 samples/sec   Loss 38.6600   LearningRate 0.009758   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:48,638-Speed 1544.49 samples/sec   Loss 38.9056   LearningRate 0.009845   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:20:49,481-Speed 1519.01 samples/sec   Loss 38.6279   LearningRate 0.009931   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:50,314-Speed 1538.11 samples/sec   Loss 38.7999   LearningRate 0.010017   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:51,176-Speed 1485.88 samples/sec   Loss 38.6441   LearningRate 0.010104   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:51,989-Speed 1576.52 samples/sec   Loss 38.7357   LearningRate 0.010190   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:52,814-Speed 1551.74 samples/sec   Loss 38.7578   LearningRate 0.010276   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:53,705-Speed 1437.49 samples/sec   Loss 38.8122   LearningRate 0.010363   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:54,513-Speed 1585.47 samples/sec   Loss 38.5321   LearningRate 0.010449   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:55,364-Speed 1506.00 samples/sec   Loss 38.8221   LearningRate 0.010535   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:56,311-Speed 1352.75 samples/sec   Loss 38.5304   LearningRate 0.010622   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:57,140-Speed 1545.99 samples/sec   Loss 38.7448   LearningRate 0.010708   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:58,024-Speed 1449.61 samples/sec   Loss 38.8252   LearningRate 0.010794   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:20:58,869-Speed 1516.60 samples/sec   Loss 38.4240   LearningRate 0.010881   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:20:59,701-Speed 1538.69 samples/sec   Loss 38.5801   LearningRate 0.010967   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:00,547-Speed 1514.68 samples/sec   Loss 38.5378   LearningRate 0.011054   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:01,372-Speed 1552.40 samples/sec   Loss 38.7084   LearningRate 0.011140   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:02,215-Speed 1520.14 samples/sec   Loss 38.6832   LearningRate 0.011226   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:03,050-Speed 1534.74 samples/sec   Loss 38.6033   LearningRate 0.011313   Epoch: 0   Global Step: 1310   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:03,884-Speed 1537.91 samples/sec   Loss 38.4158   LearningRate 0.011399   Epoch: 0   Global Step: 1320   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:04,744-Speed 1489.98 samples/sec   Loss 38.5284   LearningRate 0.011485   Epoch: 0   Global Step: 1330   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:05,574-Speed 1543.31 samples/sec   Loss 38.6531   LearningRate 0.011572   Epoch: 0   Global Step: 1340   Fp16 Grad Scale: 131072   Required: 3 hours
